endpoint,sku_id,classification,2k_nature,duration_options,price_columns,2k_price_rows,additional_material_charges,minimum_billing,base_subtitle,billing_tip,source_url,retrieved_at,evidence,actual_bill_verified
arklin/video-super-resolution,2133100000000700039,upscaler,独立视频增强/超分,,"[{""name"": ""处理版本"", ""width"": null, ""identity"": null}, {""name"": ""输出分辨率"", ""width"": null, ""identity"": null}, {""name"": ""帧率 ≤ 30（元/秒）"", ""width"": null, ""identity"": null}, {""name"": ""30 < 帧率 ≤ 60（元/秒）"", ""width"": null, ""identity"": null}]","[[""常规版"", ""2K"", ""¥0.05"", ""¥0.1""], [""专业版"", ""2K"", ""¥0.35"", ""¥0.7""]]",null,null,按时长秒数 × 单价计费（处理版本 × 分辨率 × 帧率档）。,注意：填写 tarfps 按目标帧率分档；不填 tarfps 按输入视频帧率分档（低于 24 按 24、高于 60 按 60）。须上传视频后方可预估。,https://www.runninghub.cn/call-api/api-detail/2133100000000700039,2026-09-21T07:32:56.348856+00:00,official_public_table_not_actual_bill,False
bytedance/seedance-2.5-token/image-to-video,2133100000000700021,required_media,720p原生生成后超分（官方价表明示）,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,"[{""name"": ""档位"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/百万 tokens）"", ""width"": null, ""identity"": null}, {""name"": ""备注"", ""width"": null, ""identity"": null}]","[[""2k"", ""¥87.5/百万 tokens\n附加: ¥0.42/秒"", ""基于 720p 原生生成后进行画质放大。\n按token单价+附加每秒单价计费。\n总价 = 百万 token 单价 × token 用量 / 1,000,000 + 生成视频时长 × 附加单价""]]",null,null,,,https://www.runninghub.cn/call-api/api-detail/2133100000000700021,2026-09-21T07:32:53.714769+00:00,official_public_table_not_actual_bill,False
bytedance/seedance-2.5-token/multimodal-video,2133100000000700022,optional_media,720p原生生成后超分（官方价表明示）,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,"[{""name"": ""档位"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/百万 tokens）"", ""width"": null, ""identity"": null}, {""name"": ""备注"", ""width"": null, ""identity"": null}]","[[""2k · 无参考视频"", ""¥87.5/百万 tokens\n附加: ¥0.42/秒"", ""基于 720p 原生生成后进行画质放大。\n按token单价+附加每秒单价计费。\n总价 = 百万 token 单价 × token 用量 / 1,000,000 + 生成视频时长 × 附加单价""], [""2k · 有参考视频"", ""¥52.5/百万 tokens\n附加: ¥0.42/秒"", ""基于 720p 原生生成后进行画质放大。\n按token单价+附加每秒单价计费。\n总价 = 百万 token 单价 × token 用量 / 1,000,000 + 生成视频时长 × 附加单价""]]",null,null,,,https://www.runninghub.cn/call-api/api-detail/2133100000000700022,2026-09-21T07:32:54.035205+00:00,official_public_table_not_actual_bill,False
bytedance/seedance-2.5-token/text-to-video,2133100000000700020,direct_text,720p原生生成后超分（官方价表明示）,-1|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,"[{""name"": ""档位"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/百万 tokens）"", ""width"": null, ""identity"": null}, {""name"": ""备注"", ""width"": null, ""identity"": null}]","[[""2k"", ""¥87.5/百万 tokens\n附加: ¥0.42/秒"", ""基于 720p 原生生成后进行画质放大。\n按token单价+附加每秒单价计费。\n总价 = 百万 token 单价 × token 用量 / 1,000,000 + 生成视频时长 × 附加单价""]]",null,null,,,https://www.runninghub.cn/call-api/api-detail/2133100000000700020,2026-09-21T07:32:53.550708+00:00,official_public_table_not_actual_bill,False
minimax/hailuo-h3/image-to-video,2133100000000504203,optional_media,见具体契约；标签不代替像素实测,5|6|7|8|9|10|11|12|13|14|15,"[{""name"": ""分辨率"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/秒）"", ""width"": null, ""identity"": null}]","[[""2K"", ""¥0.77/秒""]]",null,null,,,https://www.runninghub.cn/call-api/api-detail/2133100000000504203,2026-09-21T07:32:48.071542+00:00,official_public_table_not_actual_bill,False
minimax/hailuo-h3/multimodal-to-video,2133100000000504201,optional_media,见具体契约；标签不代替像素实测,5|6|7|8|9|10|11|12|13|14|15,"[{""name"": ""分辨率"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/秒）"", ""width"": null, ""identity"": null}]","[[""2K"", ""¥0.77/秒""]]","[{""cells"": [""视频"", ""按输入视频秒数及输出视频分辨率计费：2K 为 ¥0.77/秒，768P 为 ¥0.48/秒""]}, {""cells"": [""图片"", ""5 张以内免费；超过 5 张的部分，统一按 ¥0.2/张收费""]}, {""cells"": [""音频"", ""免费""]}]",null,,,https://www.runninghub.cn/call-api/api-detail/2133100000000504201,2026-09-21T07:32:48.350055+00:00,official_public_table_not_actual_bill,False
minimax/hailuo-h3/regeneration-image-to-video,2133100000000504212,regeneration,768P再生成2K,,"[{""name"": ""分辨率"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/秒）"", ""width"": null, ""identity"": null}]","[[""768P → 2K"", ""¥0.3/秒""]]",null,null,将已生成的 768P 视频进一步生成为 2K 视频，按视频再生成输出秒数计费。,,https://www.runninghub.cn/call-api/api-detail/2133100000000504212,2026-09-21T07:32:50.014248+00:00,official_public_table_not_actual_bill,False
minimax/hailuo-h3/regeneration-multimodal-to-video,2133100000000504213,regeneration,768P再生成2K,,"[{""name"": ""分辨率"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/秒）"", ""width"": null, ""identity"": null}]","[[""768P → 2K"", ""¥0.3/秒""]]","[{""cells"": [""视频"", ""按原 768P 生成任务中输入视频的秒数计费：¥0.3/秒""]}, {""cells"": [""图片"", ""5 张以内免费；超过 5 张的部分，统一按 ¥0.15/张收费""]}, {""cells"": [""音频"", ""免费""]}]",null,将已生成的 768P 视频进一步生成为 2K 视频，按视频再生成输出秒数计费。,,https://www.runninghub.cn/call-api/api-detail/2133100000000504213,2026-09-21T07:32:50.159950+00:00,official_public_table_not_actual_bill,False
minimax/hailuo-h3/regeneration-text-to-video,2133100000000504211,regeneration,768P再生成2K,,"[{""name"": ""分辨率"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/秒）"", ""width"": null, ""identity"": null}]","[[""768P → 2K"", ""¥0.3/秒""]]",null,null,将已生成的 768P 视频进一步生成为 2K 视频，按视频再生成输出秒数计费。,,https://www.runninghub.cn/call-api/api-detail/2133100000000504211,2026-09-21T07:32:49.850548+00:00,official_public_table_not_actual_bill,False
minimax/hailuo-h3/text-to-video,2133100000000504202,direct_text,见具体契约；标签不代替像素实测,5|6|7|8|9|10|11|12|13|14|15,"[{""name"": ""分辨率"", ""width"": null, ""identity"": null}, {""name"": ""价格（¥/秒）"", ""width"": null, ""identity"": null}]","[[""2K"", ""¥0.77/秒""]]",null,null,,,https://www.runninghub.cn/call-api/api-detail/2133100000000504202,2026-09-21T07:32:49.123830+00:00,official_public_table_not_actual_bill,False
