endpoint,sku_id,name,category,output_type,resolutions,explicit_2k,classification,presence,upstream_updated_at,retrieved_at,source_url
alibaba/happyhorse-1.0/image-to-video,2046514150500524037,happyhorse-1.0/image-to-video,image-to-video,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:07:15,2026-09-21T07:32:29.714391+00:00,https://www.runninghub.cn/call-api/api-detail/2046514150500524037
alibaba/happyhorse-1.0/reference-to-video,2048623940504719363,happyhorse-1.0/reference-to-video,reference-to-video,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:07:02,2026-09-21T07:32:31.164650+00:00,https://www.runninghub.cn/call-api/api-detail/2048623940504719363
alibaba/happyhorse-1.0/text-to-video,2046514150500524036,happyhorse-1.0/text-to-video,text-to-video,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:07:24,2026-09-21T07:32:29.436971+00:00,https://www.runninghub.cn/call-api/api-detail/2046514150500524036
alibaba/happyhorse-1.0/video-edit,2048623940504719364,happyhorse-1.0/video-edit,video-edit,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:06:52,2026-09-21T07:32:31.369173+00:00,https://www.runninghub.cn/call-api/api-detail/2048623940504719364
alibaba/happyhorse-1.1/image-to-video,2132764885651525692,happyhorse-1.1/image-to-video,image-to-video,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:05:44,2026-09-21T07:32:42.199241+00:00,https://www.runninghub.cn/call-api/api-detail/2132764885651525692
alibaba/happyhorse-1.1/reference-to-video,2132764885651525693,happyhorse-1.1/reference-to-video,reference-to-video,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:05:37,2026-09-21T07:32:42.381343+00:00,https://www.runninghub.cn/call-api/api-detail/2132764885651525693
alibaba/happyhorse-1.1/text-to-video,2132764885651525691,happyhorse-1.1/text-to-video,text-to-video,video,720p|1080p,False,excluded_no_2k,in_both,2026-08-24 21:06:34,2026-09-21T07:32:41.981758+00:00,https://www.runninghub.cn/call-api/api-detail/2132764885651525691
alibaba/qwen-image-2.0-pro/image-edit,2031354034474311685,千问2.0Pro-图像编辑,image-to-image,other,,False,not_video,in_both,2026-08-24 21:02:29,2026-09-21T07:32:13.681194+00:00,https://www.runninghub.cn/call-api/api-detail/2031354034474311685
alibaba/qwen-image-2.0-pro/text-to-image,2032764885651525634,千问2.0Pro-文生图,text-to-image,other,,False,not_video,in_both,2026-08-24 21:02:09,2026-09-21T07:32:14.674688+00:00,https://www.runninghub.cn/call-api/api-detail/2032764885651525634
alibaba/qwen-image-2.0/image-edit,2031354034474311686,千问2.0-图像编辑,image-to-image,other,,False,not_video,in_both,2026-08-24 21:02:19,2026-09-21T07:32:14.005417+00:00,https://www.runninghub.cn/call-api/api-detail/2031354034474311686
