endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
rhart-video-s-official/image-to-video-realistic,全能视频S-图生视频-支持真人-官方稳定版,video,,4|8|12,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""12""},""price"":10.0},{""when"":{""duration"":""4""},""price"":3.2},{""when"":{""duration"":""8""},""price"":6.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-v1/edit,全能图片V1-图生图-低价渠道版,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.07,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-v1/text-to-image,全能图片V1-文生图-低价渠道版,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.07,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro/edit,全能图片PRO-图生图-低价渠道版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.4},{""when"":{""resolution"":""2k""},""price"":0.4},{""when"":{""resolution"":""4k""},""price"":0.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro/text-to-image,全能图片PRO-文生图-低价渠道版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.4},{""when"":{""resolution"":""2k""},""price"":0.4},{""when"":{""resolution"":""4k""},""price"":0.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro-official/edit,全能图片PRO-图生图-官方稳定版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.8},{""when"":{""resolution"":""2k""},""price"":1.0},{""when"":{""resolution"":""4k""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-pro-official/text-to-image,全能图片PRO-文生图-官方稳定版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.8},{""when"":{""resolution"":""2k""},""price"":1.0},{""when"":{""resolution"":""4k""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast/text-to-video,全能视频V3.1-fast-文生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":1.5},{""when"":{""resolution"":""4k""},""price"":1.5},{""when"":{""resolution"":""720p""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-pro/text-to-video,全能视频V3.1-pro-文生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":1.0},{""when"":{""resolution"":""4k""},""price"":1.4},{""when"":{""resolution"":""720p""},""price"":0.9}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast/image-to-video,全能视频V3.1-fast-图生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":1.5},{""when"":{""resolution"":""4k""},""price"":1.5},{""when"":{""resolution"":""720p""},""price"":1.5}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
