endpoint,supports_2k,decision,reason,required_inputs,resolutions,duration_options,verification
rhart-video-s-official/image-to-video-realistic,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|imageUrl,,4|8|12,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-pro/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|imageUrls|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.6/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution|shotType,1280*720|720*1280|1920*1080|1080*1920,5|10|15,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.6/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|resolution|duration|shotType,720p|1080p,5|10|15,schema_snapshot_only; run evidence separately scoped
kling-v2.5-turbo-pro/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|aspectRatio,,5|10,schema_snapshot_only; run evidence separately scoped
kling-v2.5-turbo-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,duration|firstImageUrl,,5|10,schema_snapshot_only; run evidence separately scoped
kling-v2.5-turbo-std/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|firstImageUrl,,5|10,schema_snapshot_only; run evidence separately scoped
vidu/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|style|aspectRatio|resolution|movementAmplitude|duration,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
vidu/start-end-to-video-q2-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|lastImageUrl|duration|resolution|movementAmplitude|bgm,540p|720p|1080p,1|2|3|4|5|6|7|8,schema_snapshot_only; run evidence separately scoped
vidu/start-end-to-video-q2-turbo,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|lastImageUrl|duration|resolution|movementAmplitude|bgm,540p|720p|1080p,1|2|3|4|5|6|7|8,schema_snapshot_only; run evidence separately scoped
rhart-video-s-official/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|size|duration,,4|8|12,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/t2v-standard,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion|duration,,6|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-2.3/t2v-standard,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion|duration,,6|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/i2v-standard,False,excluded_no_2k,无2K标签（不纳入2K比较）,enablePromptExpansion|firstImageUrl|duration,,6|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-2.3/i2v-standard,False,excluded_no_2k,无2K标签（不纳入2K比较）,enablePromptExpansion|imageUrl|duration,,6|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-2.3-fast/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion|imageUrl|duration,,6|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-2.3-fast-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion|imageUrl|duration,,6,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-2.3/image-to-video-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,enablePromptExpansion|imageUrl,,,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-2.3/t2v-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion,,,schema_snapshot_only; run evidence separately scoped
kling-video-o1/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,aspectRatio|duration|mode,,5|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/i2v-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,enablePromptExpansion|firstImageUrl,,,schema_snapshot_only; run evidence separately scoped
kling-video-o1/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,aspectRatio|duration|firstImageUrl|mode,,5|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/t2v-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion,,,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/standard,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion|duration,,6|10,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|enablePromptExpansion|duration,,6,schema_snapshot_only; run evidence separately scoped
minimax/hailuo-02/fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,enablePromptExpansion|imageUrl|duration,,6|10,schema_snapshot_only; run evidence separately scoped
kling-video-o1/start-to-end,False,excluded_no_2k,无2K标签（不纳入2K比较）,aspectRatio|duration|firstImageUrl|lastImageUrl|mode,,5|10,schema_snapshot_only; run evidence separately scoped
rhart-video-s-official/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|imageUrl,,4|8|12,schema_snapshot_only; run evidence separately scoped
rhart-video-s-official/text-to-video-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|size|duration,,4|8|12|16|20,schema_snapshot_only; run evidence separately scoped
rhart-video-s-official/image-to-video-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|resolution|duration|imageUrl,720p|1080p,4|8|12|16|20,schema_snapshot_only; run evidence separately scoped
kling-video-o1-std/refrence-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,mode|prompt|aspectRatio|duration|keepOriginalSound,,5|10,schema_snapshot_only; run evidence separately scoped
kling-video-o1-std/edit-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,mode|prompt|videoUrl|keepOriginalSound,,,schema_snapshot_only; run evidence separately scoped
kling-v2.6-pro/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|sound|aspectRatio|duration,,5|10,schema_snapshot_only; run evidence separately scoped
kling-v2.6-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|sound|duration,,5|10,schema_snapshot_only; run evidence separately scoped
alibaba/wan-2.6/image-to-video-flash,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|resolution|duration|shotType|enablePromptExpansion|enableAudio,720p|1080p,2|3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
vidu/image-to-video-q2-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration|resolution|movementAmplitude|bgm,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
vidu/image-to-video-q2-turbo,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration|resolution|movementAmplitude|bgm,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
vidu/reference-to-video-q2,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|aspectRatio|resolution|duration|movementAmplitude,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
seedance-v1.5-pro/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|duration|resolution|generateAudio|cameraFixed,480p|720p|1080p,4|5|6|7|8|9|10|11|12,schema_snapshot_only; run evidence separately scoped
seedance-v1.5-pro/text-to-video-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|duration|resolution|generateAudio|cameraFixed,720p|1080p,4|5|6|7|8|9|10|11|12,schema_snapshot_only; run evidence separately scoped
seedance-v1.5-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|aspectRatio|duration|resolution|generateAudio|cameraFixed,480p|720p|1080p,4|5|6|7|8|9|10|11|12,schema_snapshot_only; run evidence separately scoped
seedance-v1.5-pro/image-to-video-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|aspectRatio|duration|resolution|generateAudio|cameraFixed,720p|1080p,4|5|6|7|8|9|10|11|12,schema_snapshot_only; run evidence separately scoped
seedance-v1-lite/reference-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrls|duration|cameraFixed|resolution|aspectRatio,720p|480p,2|3|4|5|6|7|8|9|10|11|12,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast/start-end-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstFrameUrl|aspectRatio|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
vidu/reference-to-video-q2-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
youchuan/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|resolution,480p|720p,,schema_snapshot_only; run evidence separately scoped
vidu/text-to-video-q3-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|style|aspectRatio|resolution|duration|audio,360p|540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
vidu/image-to-video-q3-pro,True,required_media,需前置媒体生成及计费,prompt|imageUrl|duration|resolution|audio,360p|540p|720p|1080p|2k,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-pro/start-end-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstFrameUrl|aspectRatio|resolution,720p|1080p|4k,8,schema_snapshot_only; run evidence separately scoped
vidu/image-to-video-q2-pro-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration|resolution|movementAmplitude|bgm,720p|1080p,1|2|3|4|5|6|7|8|9|10,schema_snapshot_only; run evidence separately scoped
vidu/start-end-to-video-q2-pro-fast,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|lastImageUrl|duration|resolution|movementAmplitude|bgm,720p|1080p,1|2|3|4|5|6|7|8,schema_snapshot_only; run evidence separately scoped
kling-v3.0-std/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|sound,,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
kling-v3.0-std/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|duration|sound,,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
kling-v3.0-pro/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|sound,,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
kling-v3.0-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|duration|sound,,3|4|5|6|7|8|9|10|11|12|13|14|15,schema_snapshot_only; run evidence separately scoped
rhart-video-g/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|resolution|duration,720p|480p,,schema_snapshot_only; run evidence separately scoped
rhart-video-g/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|aspectRatio|resolution|duration,720p|480p,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-std/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|sound|duration,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-pro/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|sound|duration,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-std/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|duration|sound,,,schema_snapshot_only; run evidence separately scoped
kling-video-o3-pro/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|duration|sound,,,schema_snapshot_only; run evidence separately scoped
vidu/text-to-video-q3-turbo,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|style|aspectRatio|resolution|duration|audio,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
vidu/image-to-video-q3-turbo,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|duration|resolution|audio,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
vidu/start-end-to-video-q3-turbo,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|lastImageUrl|duration|resolution|movementAmplitude|audio,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
vidu/start-end-to-video-q3-pro,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|firstImageUrl|lastImageUrl|duration|resolution|movementAmplitude|audio,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,schema_snapshot_only; run evidence separately scoped
kling-v2.6-std/motion-control,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|videoUrl|characterOrientation,,,schema_snapshot_only; run evidence separately scoped
kling-v2.6-pro/motion-control,False,excluded_no_2k,无2K标签（不纳入2K比较）,imageUrl|videoUrl|characterOrientation,,,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-pro-official/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution|generateAudio,720p|1080p|4k,4|6|8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-pro-official/image-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|imageUrl|resolution|duration|generateAudio,720p|1080p|4k,4|6|8,schema_snapshot_only; run evidence separately scoped
rhart-video-v3.1-fast-official/text-to-video,False,excluded_no_2k,无2K标签（不纳入2K比较）,prompt|duration|resolution|generateAudio,720p|1080p|4k,4|6|8,schema_snapshot_only; run evidence separately scoped
